image,ground_truth,prediction,CER_score
test020_2.jpg,AD1329PY,AD1328PY,0.125
test021_1.jpg,BA1709DW,BA1709DW,0.0
test021_2.jpg,W1236VZ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMVIETNAM,8.0
test022_1.jpg,W1825OZ,"THELICENSEPLATENUMBER""1825OZ""ISDISPLAYEDONAWHITE",6.0
test022_2.jpg,L1202UE,L-1202-UE,0.2857
test022_3.jpg,L3823IB,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATE.THE,6.8571
test023_1.jpg,B1730JLO,1730JLO,0.125
test024_1.jpg,B2964TRU,B2964TRU,0.0
test025_1.jpg,S5585LP,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATE.THE,6.4286
test025_2.jpg,L2858RR,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMSOUTH,7.5714
test025_3.jpg,W1185ZO,THEIMAGEYOU'VESENTISACLOSE-UPOFABLACKANDWHITELICENSE,7.2857
test025_4.jpg,9840VU,9840VU,0.0
test026_1.jpg,N9652DF,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.2857
test026_2.jpg,L3836ZX,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATE.THE,6.7143
test027_1.jpg,N1905IG,N1905IG,0.0
test027_2.jpg,B1109CLR,B1109CLR,0.0
test027_3.jpg,L1840AA,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.1429
test028_1.jpg,L1438EO,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATE.THE,6.8571
test028_2.jpg,L1436AAA,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.25
test029_1.jpg,W1518WF,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,7.5714
test029_2.jpg,G1986N,G1986N,0.0
test029_3.jpg,L1588OO,THEIMAGEYOU'VESENTISACLOSE-UPOFABLACKANDWHITELICENSE,7.1429
test029_4.jpg,L1436AAA,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,6.0
test030_1.jpg,S8062NF,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMSOUTH,7.1429
test030_2.jpg,G1894TE,"THELICENSEPLATENUMBER""1894TE""WASREGISTEREDONMARCH25",6.4286
test031_1.jpg,L1560JQ,L1560JQ,0.0
test031_2.jpg,L1568QO,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,7.0
test031_3.jpg,L1932AAZ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROM,5.875
test032_1.jpg,B2754SKY,B2134SKY,0.25
test032_2.jpg,W1192K,W1192K,0.0
test033_1.jpg,L4561VK,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,7.4286
test033_2.jpg,L2693GA,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,7.0
test033_3.jpg,W9847G,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,8.6667
test033_4.jpg,L1762ABJ,L1762ABJ,0.0
test034_1.jpg,L1811SU,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMSOUTH,7.4286
test034_2.jpg,W1167VO,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,7.0
test034_3.jpg,S6131OCF,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEONA,5.75
test034_4.jpg,L2570AAD,L2570AAD,0.0
test035_1.jpg,L9643NN,L963NN,0.1429
test035_2.jpg,L5247GI,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,7.0
test035_3.jpg,L2498AAM,L2698AAM,0.125
test035_4.jpg,W1696YO,W1696YO,0.0
test036_1.jpg,B1231JJA,B1231JJA,0.0
test036_2.jpg,B1618UAE,B1618UAE,0.0
test037_1.jpg,L1775VO,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,7.0
test037_2.jpg,L300RX,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATE.THE,7.8333
test037_3.jpg,L1879VG,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,7.1429
test038_1.jpg,D1523YCN,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMD,5.75
test038_2.jpg,L1877ACU,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROM,5.875
test039_1.jpg,L1069VK,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMVIETNAM,7.8571
test040_1.jpg,S1595LL,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMSOUTH,7.4286
test041_1.jpg,B1231JJA,B1231JJA,0.0
test042_1.jpg,AD1174SF,AD1174SF,0.0
test043_1.jpg,W1898YW,N2,1.0
test043_2.jpg,W1470PG,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMA,6.8571
test044_1.jpg,L1930KF,1930KF,0.1429
test044_2.jpg,N1004HE,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNORTH,7.5714
test045_1.jpg,S1347LJ,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMA,6.7143
test046_1.jpg,L1470ABK,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,6.125
test046_2.jpg,L1265MX,L1265MX,0.0
test047_1.jpg,N1524SY,THEIMAGEYOU'VESENTISACLOSE-UPOFABLACKLICENSEPLATEFROM,7.2857
test047_2.jpg,L1678ACE,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.125
test048_1.jpg,L9316BC,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMSOUTH,7.5714
test048_2.jpg,W1838AY,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNEW,7.2857
test049_1.jpg,N1376DE,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMGERMANY,7.5714
test049_2.jpg,N79AP,THEIMAGEYOU'VESENTISACLOSE-UPOFAREDLICENSEPLATEFROM,9.6
test050_1.jpg,L1265OF,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.1429
test050_2.jpg,N1095G,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMNORTH,8.6667
test051_1.jpg,N1718HC,N1718HC,0.0
test052_1.jpg,N6497KS,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,7.1429
test052_2.jpg,N5235ABX,N523ABX,0.125
test052_3.jpg,N4980KJ,"THELICENSEPLATENUMBER""4880KJ""ISVISIBLEONABLACK",5.7143
test053_1.jpg,N1365AAO,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.25
test054_1.jpg,N1077AAK,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,6.375
test054_2.jpg,N1084AAO,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,6.375
test055_1.jpg,N1610KS,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKLICENSEPLATEFROM,7.5714
test056_1.jpg,N924CIA,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNORTH,7.4286
test056_2.jpg,N1623HB,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNORTH,7.7143
test056_3.jpg,L1430HF,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATE.THE,6.5714
test057_1.jpg,N1342T,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,8.1667
test057_2.jpg,N4145AB,H4165AB,0.2857
test057_3.jpg,N1396AAH,N1396AAH,0.0
test058_1.jpg,N3153ACB,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,6.375
test058_2.jpg,N5829KJ,5829KJ,0.1429
test058_3.jpg,N1780JL,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNORTH,7.7143
test059_1.jpg,W8774PA,W8874PA,0.1429
test059_2.jpg,B9162FXU,B-9162FXUCS-2414,1.0
test060_1.jpg,L1846JE,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,7.4286
test060_2.jpg,M1457ITA,M1467TA,0.25
test061_1.jpg,AA1971KJ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKLICENSEPLATEFROM,6.5
test061_2.jpg,BD1146DH,BD1146DH,0.0
test062_1.jpg,B9654PEU,B965PEU,0.125
test062_2.jpg,AE7244S,AE7245S,0.1429
test063_1.jpg,S1208BI,S1208BI,0.0
test064_1.jpg,AE8137G,AE8137G,0.0
test065_1.jpg,H1706SW,"THELICENSEPLATENUMBER""1706SW""ISVISIBLEONABLACKSURFACE",6.5714
test066_1.jpg,T1220HS,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,6.8571
test066_2.jpg,H1790ZY,H1700ZY,0.1429
test067_1.jpg,L1855BR,"THELICENSEPLATENUMBER""1855BR""WASREGISTEREDONMARCH27",6.2857
test067_2.jpg,AB1274EV,AB1274EV,0.0
test068_1.jpg,B2310UZS,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,6.125
test068_2.jpg,G1264CM,G1264CM,0.0
test069_1.jpg,AA1138AK,AA1138AK,0.0
test070_1.jpg,B2160TOB,B2160TOB,0.0
test070_2.jpg,B2597BYK,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMSOUTH,6.75
test071_1.jpg,G9545AG,G9455AG,0.2857
test072_1.jpg,BG1870IB,IB01,0.875
test073_1.jpg,T1187HB,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,7.0
test073_2.jpg,A1330FP,A1330FP,0.0
test074_1.jpg,G1368GE,IS1368GE,0.2857
test074_2.jpg,B1081CMR,B1081CMR,0.0
test075_1.jpg,G2474XZ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,7.5714
test075_2.jpg,G9173BP,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.2857
test075_3.jpg,7066OF,700020002025,1.6667
test076_1.jpg,G2151ASF,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEONA,5.375
test076_2.jpg,E500MA,THEIMAGEYOU'VESENTISACLOSE-UPOFABLACKANDWHITELICENSE,8.3333
test076_3.jpg,G4689SN,C4089SN,0.2857
test077_1.jpg,G1754QZ,G1764OZ,0.2857
test078_1.jpg,H1413DH,H1413DH,0.0
test079_1.jpg,T1688GY,"THELICENSEPLATENUMBER""1688GY""WASREGISTEREDONMAY",5.7143
test079_2.jpg,A1260AJ,A1266C,0.4286
test080_1.jpg,D77HSB,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,8.5
test080_2.jpg,B1861TOI,B1861YU,0.375
test080_3.jpg,D1160ADE,1160ADE,0.125
test081_1.jpg,F8097BD,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.4286
test081_2.jpg,F1992AM,F1992AM,0.0
test082_1.jpg,E1824YZ,"THELICENSEPLATENUMBER""1824YZ""WASREGISTEREDONJULY",5.8571
test082_2.jpg,B9093UEX,B9093EX,0.125
test083_1.jpg,F5052AAE,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,6.0
test083_2.jpg,F5452CQ,F542CO,0.2857
test084_1.jpg,B1158PYP,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKLICENSEPLATEFROM,6.625
test084_2.jpg,B1242VOY,B1262VOV,0.25
test085_1.jpg,B1315KIF,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.375
test085_2.jpg,B2938FVJ,DB2938FVJ,0.125
test085_3.jpg,B2560SKZ,B2560SKZ,0.0
test086_1.jpg,B1291NOJ,B1291NOJ,0.0
test086_2.jpg,B1556NRC,IS1566NRC,0.375
test087_1.jpg,B6823WXR,B.6833WXR0127,0.75
test087_2.jpg,B6317NXK,B6317,0.375
test087_3.jpg,F2215FCQ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMA,6.125
test087_4.jpg,4039NHR,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNEW,7.2857
test088_1.jpg,B2190TYB,"THELICENSEPLATENUMBER""2190TBY""ISDISPLAYEDONABLACK",5.125
test088_2.jpg,B1902VKA,B1902VKA,0.0
test089_1.jpg,D8609N,D8089,0.5
test089_2.jpg,A8406ZE,GB82,1.0
test089_3.jpg,B1246KRK,B1266KRK,0.125
test090_1.jpg,T9314E,9314,0.3333
test090_2.jpg,N9579U,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNORTH,9.0
test091_1.jpg,B2910KZW,B2910KZW,0.0
test091_2.jpg,B9721KXV,B9721KVV,0.125
test092_1.jpg,B1104AAA,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKLICENSEPLATEWITH,6.5
test092_2.jpg,T1579FN,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMT,6.8571
test092_3.jpg,B2346POC,B2346POC,0.0
test093_1.jpg,B2026BIU,B2026BBU,0.125
test094_1.jpg,G1255EJ,G1255EJ,0.0
test095_1.jpg,B1201KAD,B1201KAD,0.0
test095_2.jpg,B2310JUK,B2310JUK,0.0
test095_3.jpg,B28YHH,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMNEW,8.5
test096_1.jpg,B1354COJ,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,6.125
test096_2.jpg,B1502NRO,B1502NRO,0.0
test097_1.jpg,B1650NOG,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.375
test097_2.jpg,B6354SVL,FB3354SLV,0.5
test098_1.jpg,B1779DOB,1779DOB,0.125
test099_1.jpg,B2017PBQ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROM,6.125
test099_2.jpg,B1892WZT,D1892WZT,0.125
test100_1.jpg,B1071PRG,B1071PRG,0.0
test100_2.jpg,B2134PZJ,B2136PZJ,0.125
